,Istasyon_No,Istasyon_Adi,YIL,AY,GUN,SAAT,SICAKLIK_°C
24177,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,21.0,3.5
24178,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,22.0,3.8
24179,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,23.0,3.5
24180,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,0.0,3.4
24181,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,1.0,3.6
24182,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,2.0,3.5
24183,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,3.0,3.5
24184,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,4.0,3.7
24185,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,5.0,3.6
24186,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,6.0,3.6
24187,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,7.0,3.8
24188,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,8.0,4.2
24189,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,9.0,4.7
24190,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,10.0,5.4
24191,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,11.0,6.8
24192,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,12.0,6.2
24193,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,13.0,6.1
24194,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,14.0,5.2
24195,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,15.0,4.7
24196,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,16.0,4.5
24197,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,17.0,4.5
24198,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,18.0,4.7
24199,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,19.0,4.7
24200,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,20.0,4.3
24201,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,21.0,5.4
24202,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,22.0,6.2
24203,18046,ÇANKAYA/TBMM,2016.0,1.0,6.0,23.0,6.1
24204,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,0.0,6.7
24205,18046,ÇANKAYA/TBMM,2016.0,1.0,7.0,1.0,7.7
