Date,Open,High,Low,Close,Adj Close,Volume
2017-09-14,3.458230,3.477110,3.439800,3.458500,3.458500,0
2017-09-15,3.431800,3.443100,3.425400,3.432100,3.432100,0
2017-09-18,3.441000,3.489850,3.432700,3.440950,3.440950,0
2017-09-19,3.485720,3.505590,3.480700,3.488400,3.488400,0
2017-09-20,3.487820,3.490030,3.464000,3.488150,3.488150,0
2017-09-21,3.505590,3.518840,3.492600,3.504800,3.504800,0
2017-09-22,3.506000,3.506810,3.483000,3.506000,3.506000,0
2017-09-25,3.499900,3.547700,3.496300,3.499200,3.499200,0
2017-09-26,3.542100,3.552850,3.525300,3.543500,3.543500,0
2017-09-27,3.541500,3.585000,3.540020,3.541640,3.541640,0
2017-09-28,3.578000,3.595080,3.556000,3.577550,3.577550,0
2017-09-29,3.558700,3.566030,3.540000,3.558310,3.558310,0
2017-10-02,3.563800,3.585770,3.560970,3.562200,3.562200,0
2017-10-03,3.567500,3.591710,3.566720,3.567180,3.567180,0
2017-10-04,3.572390,3.578240,3.559600,3.573700,3.573700,0
2017-10-05,3.573000,3.579650,3.564900,3.573300,3.573300,0
2017-10-06,3.586530,3.635040,3.582000,3.586900,3.586900,0
2017-10-09,3.710200,3.746930,3.675000,3.706700,3.706700,0
2017-10-10,3.706400,3.706900,3.661100,3.706100,3.706100,0
2017-10-11,3.706960,3.709700,3.653600,3.706820,3.706820,0
2017-10-12,3.644510,3.666900,3.628950,3.644510,3.644510,0
2017-10-13,3.657600,3.662370,3.625000,3.656800,3.656800,0
2017-10-16,3.637400,3.650210,3.632800,3.637800,3.637800,0
2017-10-17,3.645800,3.683100,3.645080,3.645500,3.645500,0
2017-10-18,3.665500,3.686310,3.662700,3.665300,3.665300,0
2017-10-19,3.672670,3.676700,3.652600,3.673190,3.673190,0
2017-10-20,3.652000,3.680980,3.647000,3.652400,3.652400,0
2017-10-23,3.686840,3.717530,3.684600,3.688390,3.688390,0
2017-10-24,3.713550,3.737280,3.703960,3.713000,3.713000,0
2017-10-25,3.735360,3.750710,3.721440,3.737370,3.737370,0
2017-10-26,3.757500,3.818060,3.751300,3.758630,3.758630,0
2017-10-27,3.818400,3.842780,3.792750,3.818400,3.818400,0
2017-10-30,3.785920,3.790030,3.766000,3.787100,3.787100,0
2017-10-31,3.774950,3.814070,3.766600,3.777250,3.777250,0
2017-11-01,3.786350,3.831950,3.784600,3.787300,3.787300,0
2017-11-02,3.815500,3.825270,3.794130,3.811180,3.811180,0
2017-11-03,3.799500,3.879450,3.797100,3.799200,3.799200,0
2017-11-06,3.879560,3.884000,3.822500,3.881200,3.881200,0
2017-11-07,3.827900,3.892950,3.825250,3.826150,3.826150,0
2017-11-08,3.883000,3.899670,3.855300,3.882930,3.882930,0
2017-11-09,3.865500,3.878400,3.838000,3.865500,3.865500,0
2017-11-10,3.862520,3.879300,3.847200,3.861050,3.861050,0
2017-11-13,3.852730,3.888210,3.849670,3.858110,3.858110,0
2017-11-14,3.868500,3.908970,3.861300,3.868500,3.868500,0
2017-11-15,3.886520,3.899850,3.873200,3.886360,3.886360,0
2017-11-16,null,null,null,null,null,null
2017-11-17,3.863500,3.901720,3.851160,3.863160,3.863160,0
2017-11-20,3.868200,3.929050,3.860500,3.868330,3.868330,0
2017-11-21,3.919910,3.976020,3.918970,3.926600,3.926600,0
2017-11-22,3.958720,3.980760,3.928830,3.960400,3.960400,0
2017-11-23,3.917700,3.946560,3.901870,3.917700,3.917700,0
2017-11-24,3.921200,3.954090,3.918900,3.921300,3.921300,0
2017-11-27,3.948410,3.950800,3.888590,3.950700,3.950700,0
2017-11-28,3.905300,3.972130,3.904400,3.905100,3.905100,0
2017-11-29,3.964800,3.972260,3.944000,3.964500,3.964500,0
2017-11-30,3.956070,3.959240,3.903970,3.956050,3.956050,0
2017-12-01,3.917000,3.946510,3.910500,3.916440,3.916440,0
2017-12-04,3.925240,3.943310,3.877240,3.924400,3.924400,0
2017-12-05,3.875000,3.878840,3.839000,3.874900,3.874900,0
2017-12-06,3.841400,3.863040,3.839730,3.841500,3.841500,0
2017-12-07,3.849900,3.871420,3.847650,3.850100,3.850100,0
2017-12-08,3.862600,3.871660,3.825100,3.865050,3.865050,0
2017-12-11,3.837000,3.838500,3.816380,3.837100,3.837100,0
2017-12-12,3.831660,3.857030,3.822890,3.831070,3.831070,0
2017-12-13,3.845900,3.863590,3.825100,3.845800,3.845800,0
2017-12-14,3.813240,3.893860,3.810000,3.812900,3.812900,0
2017-12-15,3.882930,3.886000,3.853450,3.884200,3.884200,0
2017-12-18,3.862290,3.865550,3.820200,3.855900,3.855900,0
2017-12-19,3.828740,3.844520,3.822000,3.828760,3.828760,0
2017-12-20,3.830940,3.843960,3.815400,3.831600,3.831600,0
2017-12-21,3.822900,3.831720,3.813600,3.821650,3.821650,0
2017-12-22,3.819640,3.823970,3.807000,3.817600,3.817600,0
